item_id	test_sample_index	target_token_index	source_rank	auto_strict_label	auto_loose_label	mapped	oracle_reason	source_node_type	target_node_type	source_node_text	target_node_text
test0_t451_s01	0	451	1	spurious	spurious	False	unmapped				
test0_t451_s02	0	451	2	spurious	spurious	False	unmapped				
test0_t451_s03	0	451	3	spurious	spurious	False	unmapped				
test0_t451_s04	0	451	4	spurious	spurious	False	unmapped				
test0_t451_s05	0	451	5	spurious	spurious	False	unmapped				
test0_t451_s06	0	451	6	spurious	spurious	False	unmapped				
test0_t451_s07	0	451	7	spurious	spurious	True	unsupported	method_declaration	identifier		adapter
test0_t451_s08	0	451	8	spurious	spurious	False	unmapped				
test0_t451_s09	0	451	9	spurious	spurious	False	unmapped				
test0_t451_s10	0	451	10	spurious	spurious	True	unsupported	method_declaration	identifier		adapter
test6_t783_s01	6	783	1	spurious	supported	True	same_statement	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s02	6	783	2	spurious	supported	True	control_dependency	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s03	6	783	3	spurious	supported	True	control_dependency	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s04	6	783	4	spurious	spurious	True	unsupported	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s05	6	783	5	spurious	spurious	True	unsupported	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s06	6	783	6	spurious	supported	True	control_dependency	index_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s07	6	783	7	spurious	supported	True	same_statement	selector_expression	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s08	6	783	8	spurious	spurious	True	unsupported	function_declaration	interpreted_string_literal		"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s09	6	783	9	spurious	supported	True	control_dependency	interpreted_string_literal_content	interpreted_string_literal	"""invalid configuration, empty package: pkg=%s alias=%s"""	"""invalid configuration, multiple packages with the same name: pkg=%s"""
test6_t783_s10	6	783	10	spurious	spurious	False	unmapped				
test8_t1930_s01	8	1930	1	spurious	spurious	False	unmapped				
test8_t1930_s02	8	1930	2	spurious	spurious	True	unsupported	function_declaration	identifier		result
test8_t1930_s03	8	1930	3	spurious	spurious	True	unsupported	identifier	identifier	expand	result
test8_t1930_s04	8	1930	4	spurious	spurious	False	unmapped				
test8_t1930_s05	8	1930	5	spurious	spurious	True	unsupported	argument_list	identifier		result
test8_t1930_s06	8	1930	6	spurious	spurious	False	unmapped				
test8_t1930_s07	8	1930	7	spurious	spurious	True	unsupported	identifier	identifier	expand	result
test8_t1930_s08	8	1930	8	spurious	spurious	False	unmapped				
test8_t1930_s09	8	1930	9	spurious	spurious	False	unmapped				
test8_t1930_s10	8	1930	10	spurious	spurious	False	unmapped				
test16_t595_s01	16	595	1	spurious	spurious	False	unmapped				
test16_t595_s02	16	595	2	spurious	spurious	True	unsupported	expression_case	field_identifier		LoadRestrictionsRootOnly
test16_t595_s03	16	595	3	spurious	spurious	True	unsupported	expression_switch_statement	field_identifier		LoadRestrictionsRootOnly
test16_t595_s04	16	595	4	spurious	spurious	True	unsupported	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s05	16	595	5	spurious	spurious	False	unmapped				
test16_t595_s06	16	595	6	spurious	spurious	True	unsupported	expression_case	field_identifier		LoadRestrictionsRootOnly
test16_t595_s07	16	595	7	supported	supported	True	target_in_source_selector_chain	binary_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s08	16	595	8	spurious	spurious	True	unsupported	function_declaration	field_identifier		LoadRestrictionsRootOnly
test16_t595_s09	16	595	9	spurious	spurious	False	unmapped				
test16_t595_s10	16	595	10	spurious	spurious	True	unsupported	identifier	field_identifier	AddFlagLoadRestrictor	LoadRestrictionsRootOnly
test18_t1992_s01	18	1992	1	spurious	spurious	True	unsupported	argument_list	if_statement		
test18_t1992_s02	18	1992	2	spurious	spurious	True	unsupported	identifier	if_statement	finalObject	
test18_t1992_s03	18	1992	3	spurious	spurious	True	unsupported	argument_list	if_statement		
test18_t1992_s04	18	1992	4	spurious	spurious	False	unmapped				
test18_t1992_s05	18	1992	5	spurious	spurious	False	unmapped				
test18_t1992_s06	18	1992	6	spurious	spurious	True	unsupported	method_declaration	if_statement		
test18_t1992_s07	18	1992	7	spurious	spurious	False	unmapped				
test18_t1992_s08	18	1992	8	spurious	spurious	False	unmapped				
test18_t1992_s09	18	1992	9	spurious	spurious	True	unsupported	short_var_declaration	if_statement		
test18_t1992_s10	18	1992	10	spurious	spurious	True	unsupported	identifier	if_statement	success	
test21_t406_s01	21	406	1	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s02	21	406	2	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s03	21	406	3	supported	supported	True	same_selector_chain	interpreted_string_literal_content	interpreted_string_literal	"""uint NOT available for flag name %[1]q (cmd=%[2]q)"""	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s04	21	406	4	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s05	21	406	5	supported	supported	True	source_in_target_selector_chain	identifier	interpreted_string_literal	tracef	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s06	21	406	6	spurious	spurious	False	unmapped				
test21_t406_s07	21	406	7	spurious	spurious	False	unmapped				
test21_t406_s08	21	406	8	spurious	spurious	True	unsupported	field_identifier	interpreted_string_literal	Uint	"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s09	21	406	9	spurious	spurious	True	unsupported	function_declaration	interpreted_string_literal		"""uint available for flag name %[1]q (cmd=%[2]q)"""
test21_t406_s10	21	406	10	spurious	spurious	False	unmapped				
test27_t1607_s01	27	1607	1	spurious	spurious	False	unmapped				
test27_t1607_s02	27	1607	2	supported	supported	True	source_in_target_selector_chain	identifier	field_identifier	handler	IsSynced
test27_t1607_s03	27	1607	3	spurious	spurious	False	unmapped				
test27_t1607_s04	27	1607	4	spurious	spurious	True	unsupported	field_identifier	field_identifier	WaitForHandlersSync	IsSynced
test27_t1607_s05	27	1607	5	spurious	spurious	False	unmapped				
test27_t1607_s06	27	1607	6	spurious	supported	True	control_dependency	selector_expression	field_identifier		IsSynced
test27_t1607_s07	27	1607	7	spurious	spurious	False	unmapped				
test27_t1607_s08	27	1607	8	supported	supported	True	target_in_source_selector_chain	for_statement	field_identifier		IsSynced
test27_t1607_s09	27	1607	9	supported	supported	True	target_in_source_selector_chain	if_statement	field_identifier		IsSynced
test27_t1607_s10	27	1607	10	spurious	supported	True	control_dependency	field_identifier	field_identifier	registeredHandlers	IsSynced
test28_t620_s01	28	620	1	spurious	spurious	True	unsupported	method_declaration	defer_statement		
test28_t620_s02	28	620	2	spurious	spurious	False	unmapped				
test28_t620_s03	28	620	3	spurious	spurious	False	unmapped				
test28_t620_s04	28	620	4	spurious	spurious	False	unmapped				
test28_t620_s05	28	620	5	spurious	spurious	False	unmapped				
test28_t620_s06	28	620	6	spurious	spurious	False	unmapped				
test28_t620_s07	28	620	7	spurious	spurious	False	unmapped				
test28_t620_s08	28	620	8	spurious	spurious	False	unmapped				
test28_t620_s09	28	620	9	spurious	spurious	False	unmapped				
test28_t620_s10	28	620	10	spurious	spurious	True	unsupported	method_declaration	defer_statement		
test34_t439_s01	34	439	1	spurious	spurious	True	unsupported	function_declaration	return_statement		
test34_t439_s02	34	439	2	spurious	spurious	False	unmapped				
test34_t439_s03	34	439	3	spurious	spurious	False	unmapped				
test34_t439_s04	34	439	4	spurious	spurious	False	unmapped				
test34_t439_s05	34	439	5	spurious	spurious	True	unsupported	short_var_declaration	return_statement		
test34_t439_s06	34	439	6	spurious	spurious	False	unmapped				
test34_t439_s07	34	439	7	spurious	spurious	False	unmapped				
test34_t439_s08	34	439	8	spurious	spurious	False	unmapped				
test34_t439_s09	34	439	9	spurious	spurious	False	unmapped				
test34_t439_s10	34	439	10	spurious	spurious	False	unmapped				
test38_t334_s01	38	334	1	spurious	spurious	True	unsupported	function_declaration	identifier		res
test38_t334_s02	38	334	2	spurious	supported	True	control_dependency	field_identifier	identifier	HasSuffix	res
test38_t334_s03	38	334	3	spurious	supported	True	control_dependency	selector_expression	identifier		res
test38_t334_s04	38	334	4	spurious	spurious	False	unmapped				
test38_t334_s05	38	334	5	spurious	spurious	False	unmapped				
test38_t334_s06	38	334	6	spurious	spurious	True	unsupported	short_var_declaration	identifier		res
test38_t334_s07	38	334	7	spurious	supported	True	control_dependency	short_var_declaration	identifier		res
test38_t334_s08	38	334	8	supported	supported	True	target_in_source_selector_chain	index_expression	identifier		res
test38_t334_s09	38	334	9	spurious	spurious	True	unsupported	selector_expression	identifier		res
test38_t334_s10	38	334	10	spurious	spurious	False	unmapped				
test39_t987_s01	39	987	1	spurious	supported	True	control_dependency	selector_expression	if_statement		
test39_t987_s02	39	987	2	spurious	supported	True	control_dependency	identifier	if_statement	dir	
test39_t987_s03	39	987	3	spurious	spurious	False	unmapped				
test39_t987_s04	39	987	4	spurious	supported	True	control_dependency	if_statement	if_statement		
test39_t987_s05	39	987	5	spurious	supported	True	control_dependency	short_var_declaration	if_statement		
test39_t987_s06	39	987	6	spurious	spurious	False	unmapped				
test39_t987_s07	39	987	7	spurious	supported	True	control_dependency	identifier	if_statement	filepath	
test39_t987_s08	39	987	8	spurious	spurious	True	unsupported	method_declaration	if_statement		
test39_t987_s09	39	987	9	spurious	supported	True	control_dependency	for_statement	if_statement		
test39_t987_s10	39	987	10	spurious	supported	True	control_dependency	range_clause	if_statement		
