item_id	case_order	source_order	test_sample_index	task_id	target_token_index	target_token	generated_first_error	reference_token	source_rank	source_method_rank	source_ranking	source_token_index	source_token	alti_saliency	source_context	target_context	generated_completion_preview	reference_completion_preview	full_generated_code_path	full_reference_code_path	full_generated_completion_path	full_reference_completion_path	full_prompt_path	human_label	human_confidence	human_rationale
test0_t451_s01	1	1	0	test0	451	adapter	adapter	config	1	1	alti_saliency	75	iterator	0.031978	/kubernetes /K ubernetes /vendor /github .com /json - [SOURCE:iterator] /go  Below  is  the  code  repository :  github	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s02	1	2	0	test0	451	adapter	adapter	config	2	2	alti_saliency	122	 func	0.019786	 * Stream \n }\n\n //  Methods :\n - [SOURCE: func]  ( adapter  * Encoder )  Encode (val  *	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s03	1	3	0	test0	451	adapter	adapter	config	3	3	alti_saliency	110	 Encoder	0.018168	 receiver  struct  definitions  of  the  function  is  type [SOURCE: Encoder]  struct  {\n \tstream  * Stream \n }\n\n //	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s04	1	4	0	test0	451	adapter	adapter	config	4	4	alti_saliency	73	/json	0.017351	github .com /kubernetes /K ubernetes /vendor /github .com [SOURCE:/json] - iterator /go  Below  is  the  code  repository	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s05	1	5	0	test0	451	adapter	adapter	config	5	5	alti_saliency	111	 struct	0.016429	 struct  definitions  of  the  function  is  type  Encoder [SOURCE: struct]  {\n \tstream  * Stream \n }\n\n //  Methods	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s06	1	6	0	test0	451	adapter	adapter	config	6	6	alti_saliency	145	Indent	0.015489	-  func  ( adapter  * Encoder )  Set [SOURCE:Indent] (( prefix  string ,  indent  string ))\n -	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s07	1	7	0	test0	451	adapter	adapter	config	7	7	alti_saliency	413	func	0.014632	Indent (( prefix  string ,  indent  string ))\n [SOURCE:func]  ( adapter  * Encoder )  Set Indent (prefix	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s08	1	8	0	test0	451	adapter	adapter	config	8	8	alti_saliency	405	Indent	0.014366	 complete  func  ( adapter  * Encoder )  Set [SOURCE:Indent] (( prefix  string ,  indent  string ))\n func	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s09	1	9	0	test0	451	adapter	adapter	config	9	9	alti_saliency	62	 package	0.011703	 provided  code     content .  Below  is  the [SOURCE: package]  path : github .com /kubernetes /K ubernetes /vendor	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
test0_t451_s10	1	10	0	test0	451	adapter	adapter	config	10	10	alti_saliency	350	func	0.010901	\treturn  Config Default .New Encoder (writer )\n }\n\n [SOURCE:func]  ( adapter  * Encoder )  Encode (val  interface	 are  returned <|im_end|> \n <|im_start|> assistant \n \t [TARGET:adapter] .stream .Set Indent (prefix ,  indent )\n \t	\n\tadapter.stream.SetIndent(prefix, indent)\n\tadapter.stream.Flush()	\n\tconfig := adapter.stream.cfg.configBeforeFrozen\n\tconfig.IndentionStep = len(indent)\n\tadapter.stream.cfg = config.frozeWithCacheReuse(adapter.stream.cfg.extraExtensions)	spurious_correlation_results/human_annotation/full_code/test0/generated.go	spurious_correlation_results/human_annotation/full_code/test0/reference.go	spurious_correlation_results/human_annotation/full_code/test0/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test0/prompt.txt			
